DP,Inlet,NO2,O3,PM2.5,RH,TEMP,Time
7.9,Sample,0.9,24.0,6.4,56.6,16.52,2020-10-30T00:00:00
7.9,Sample,0.9,22.6,7.5,57.6,16.33,2020-10-30T01:00:00
7.2,Sample,0.0,22.0,6.6,58.4,15.37,2020-10-30T02:00:00
6.5,Sample,0.4,20.5,8.3,57.6,14.79,2020-10-30T03:00:00
6.2,Sample,2.0,18.3,26.9,59.5,13.94,2020-10-30T04:00:00
6.1,Sample,4.9,16.6,23.0,59.0,14.0,2020-10-30T05:00:00
5.3,Sample,11.9,13.4,43.3,60.3,12.79,2020-10-30T06:00:00
4.7,Sample,13.0,14.9,30.4,59.5,12.35,2020-10-30T07:00:00
4.9,Sample,12.5,17.4,22.0,58.1,12.95,2020-10-30T08:00:00
5.4,Sample,14.0,19.9,14.0,52.5,15.09,2020-10-30T09:00:00
5.6,Sample,9.5,27.0,8.0,48.1,16.65,2020-10-30T10:00:00
5.3,Sample,9.8,31.2,9.1,43.3,18.03,2020-10-30T11:00:00
4.0,Sample,12.9,34.0,6.2,35.4,19.76,2020-10-30T12:00:00
1.8,Sample,17.1,32.0,4.2,27.0,21.62,2020-10-30T13:00:00
1.9,Sample,16.7,31.6,3.9,26.1,22.32,2020-10-30T14:00:00
2.0,Sample,16.8,32.1,5.1,26.5,22.2,2020-10-30T15:00:00
2.3,Sample,17.9,30.7,3.8,27.0,22.16,2020-10-30T16:00:00
2.2,Sample,18.2,30.8,4.4,29.1,20.86,2020-10-30T17:00:00
2.4,Sample,16.9,28.9,4.9,33.1,18.98,2020-10-30T18:00:00
2.9,Sample,18.1,22.0,7.2,35.7,18.36,2020-10-30T19:00:00
3.1,Sample,20.7,17.6,5.8,37.6,17.79,2020-10-30T20:00:00
3.4,Sample,17.0,20.4,4.8,39.7,17.22,2020-10-30T21:00:00
3.3,Sample,18.9,17.8,5.5,41.6,16.45,2020-10-30T22:00:00
3.0,Sample,23.3,13.5,14.1,44.2,15.11,2020-10-30T23:00:00
2.7,Sample,21.6,11.6,26.2,46.6,13.92,2020-10-31T00:00:00
2.1,Sample,18.1,13.4,37.6,49.3,12.45,2020-10-31T01:00:00
2.6,Sample,11.8,18.2,37.5,53.3,11.82,2020-10-31T02:00:00
2.7,Sample,9.9,18.0,16.5,54.8,11.46,2020-10-31T03:00:00
2.4,Sample,13.3,17.3,44.8,56.1,10.86,2020-10-31T04:00:00
2.4,Sample,15.3,15.1,19.3,56.8,10.67,2020-10-31T05:00:00
2.2,Sample,23.8,8.9,57.9,55.8,10.65,2020-10-31T06:00:00
2.2,Sample,22.5,10.0,33.9,55.3,10.78,2020-10-31T07:00:00
2.9,Sample,21.3,14.1,19.5,52.8,12.31,2020-10-31T08:00:00
3.2,Sample,17.7,21.6,15.6,47.7,14.13,2020-10-31T09:00:00
3.1,Sample,16.0,24.8,13.2,41.4,16.36,2020-10-31T10:00:00
1.0,Sample,19.5,30.7,10.2,30.8,18.63,2020-10-31T11:00:00
2.5,Sample,20.0,32.7,14.0,29.9,20.74,2020-10-31T12:00:00
1.5,Sample,18.6,35.0,7.2,25.5,22.33,2020-10-31T13:00:00
0.2,Sample,18.8,34.0,3.7,21.7,23.31,2020-10-31T14:00:00
-0.5,Sample,18.0,33.3,6.7,20.0,23.81,2020-10-31T15:00:00
0.8,Sample,17.4,31.9,6.6,22.0,23.83,2020-10-31T16:00:00
0.7,Sample,21.1,27.1,25.2,23.0,23.0,2020-10-31T17:00:00
2.1,Sample,34.0,9.7,103.4,27.1,21.91,2020-10-31T18:00:00
1.7,Sample,22.6,15.1,12.0,28.4,20.76,2020-10-31T19:00:00
1.2,Sample,24.2,13.6,6.5,28.6,20.0,2020-10-31T20:00:00
-1.0,Sample,19.6,18.6,3.9,25.2,19.55,2020-10-31T21:00:00
-1.6,Sample,20.8,18.5,7.4,24.7,19.11,2020-10-31T22:00:00
-1.0,Sample,26.8,12.2,8.4,27.0,18.36,2020-10-31T23:00:00
-0.5,Sample,22.4,13.3,9.9,29.4,17.57,2020-11-01T00:00:00
-0.2,Sample,19.0,13.6,35.3,34.5,15.54,2020-11-01T01:00:00
1.5,Sample,11.8,16.3,8.2,40.3,14.91,2020-11-01T02:00:00
1.5,Sample,13.9,12.9,18.3,41.3,14.52,2020-11-01T03:00:00
1.6,Sample,13.6,15.0,20.6,44.2,13.59,2020-11-01T04:00:00
2.6,Sample,8.9,18.2,10.8,48.1,13.32,2020-11-01T05:00:00
2.0,Sample,15.5,12.3,31.0,46.1,13.38,2020-11-01T06:00:00
1.9,Sample,18.2,10.6,21.7,44.7,13.79,2020-11-01T07:00:00
2.4,Sample,14.3,19.6,9.5,42.7,15.03,2020-11-01T08:00:00
2.3,Sample,11.3,21.2,8.9,38.6,16.42,2020-11-01T09:00:00
0.5,Sample,13.5,26.9,4.3,30.1,18.39,2020-11-01T10:00:00
-1.2,Sample,14.1,30.8,4.9,23.3,20.45,2020-11-01T11:00:00
-0.3,Sample,14.8,31.6,9.8,23.7,21.34,2020-11-01T12:00:00
0.3,Sample,15.1,32.1,11.0,24.1,21.77,2020-11-01T13:00:00
0.0,Sample,14.7,32.1,5.6,23.2,21.95,2020-11-01T14:00:00
1.5,Sample,13.8,30.1,10.4,26.0,21.92,2020-11-01T15:00:00
2.9,Sample,14.3,28.8,7.8,29.1,21.7,2020-11-01T16:00:00
3.9,Sample,11.4,26.3,5.3,34.1,20.28,2020-11-01T17:00:00
4.0,Sample,9.4,25.5,6.8,38.0,18.61,2020-11-01T18:00:00
4.7,Sample,5.8,26.6,3.2,44.1,17.04,2020-11-01T19:00:00
5.0,Sample,4.9,26.5,3.2,48.1,16.04,2020-11-01T20:00:00
5.1,Sample,5.4,26.5,3.9,50.2,15.42,2020-11-01T21:00:00
5.2,Sample,4.1,26.9,2.6,51.7,15.06,2020-11-01T22:00:00
5.0,Sample,4.4,27.2,2.4,51.8,14.86,2020-11-01T23:00:00
5.1,Sample,4.0,26.3,2.3,52.5,14.72,2020-11-02T00:00:00
5.0,Sample,2.1,25.8,3.3,53.0,14.51,2020-11-02T01:00:00
5.2,Sample,1.5,24.4,4.0,53.7,14.44,2020-11-02T02:00:00
5.4,Sample,0.1,24.9,2.3,54.9,14.37,2020-11-02T03:00:00
5.6,Sample,3.6,22.8,2.9,56.0,14.26,2020-11-02T04:00:00
5.0,Sample,2.4,23.4,2.1,55.5,13.8,2020-11-02T05:00:00
4.8,Sample,2.8,21.7,2.4,56.0,13.43,2020-11-02T06:00:00
4.5,Sample,6.8,19.6,4.7,56.0,13.14,2020-11-02T07:00:00
3.8,Sample,7.8,22.2,4.1,51.6,13.65,2020-11-02T08:00:00
2.6,Sample,10.1,26.6,2.3,45.6,14.23,2020-11-02T09:00:00
1.9,Sample,10.0,26.6,1.5,40.8,15.21,2020-11-02T10:00:00
2.0,Sample,11.1,25.3,3.1,38.4,16.25,2020-11-02T11:00:00
1.5,Sample,11.6,26.1,5.2,34.4,17.41,2020-11-02T12:00:00
1.6,Sample,12.2,26.9,12.8,33.2,18.07,2020-11-02T13:00:00
1.1,Sample,13.1,26.8,27.6,30.9,18.58,2020-11-02T14:00:00
1.3,Sample,12.5,27.5,37.9,31.8,18.42,2020-11-02T15:00:00
1.7,Sample,12.9,27.0,13.5,33.4,18.02,2020-11-02T16:00:00
1.9,Sample,13.0,26.2,28.9,35.8,17.25,2020-11-02T17:00:00
2.2,Sample,14.0,25.3,12.7,39.6,15.93,2020-11-02T18:00:00
2.3,Sample,12.8,26.3,9.4,42.4,14.97,2020-11-02T19:00:00
2.5,Sample,12.4,26.7,2.3,44.7,14.39,2020-11-02T20:00:00
2.1,Sample,12.7,26.6,35.3,45.4,13.72,2020-11-02T21:00:00
2.5,Sample,13.8,22.5,10.1,46.6,13.74,2020-11-02T22:00:00
2.6,Sample,13.9,23.2,3.6,45.7,14.21,2020-11-02T23:00:00
2.9,Sample,13.4,22.2,44.7,46.1,14.32,2020-11-03T00:00:00
3.1,Sample,10.6,22.7,15.2,49.3,13.57,2020-11-03T01:00:00
3.8,Sample,8.3,25.6,3.5,51.1,13.73,2020-11-03T02:00:00
4.2,Sample,8.0,26.8,5.9,52.1,13.82,2020-11-03T03:00:00
4.5,Sample,8.6,25.8,14.1,53.7,13.72,2020-11-03T04:00:00
4.8,Sample,6.8,25.9,11.9,55.1,13.65,2020-11-03T05:00:00
4.9,Sample,6.7,25.9,12.8,56.3,13.43,2020-11-03T06:00:00
5.0,Sample,6.8,26.0,16.8,58.2,13.07,2020-11-03T07:00:00
5.2,Sample,7.4,25.5,12.2,59.0,13.03,2020-11-03T08:00:00
5.5,Sample,5.7,24.9,6.0,58.2,13.61,2020-11-03T09:00:00
6.0,Sample,5.4,22.3,15.5,54.8,14.98,2020-11-03T10:00:00
6.0,Sample,3.7,23.7,13.4,52.1,15.8,2020-11-03T11:00:00
6.2,Sample,2.5,25.2,18.9,50.2,16.67,2020-11-03T12:00:00
6.4,Sample,1.9,26.6,18.1,47.2,17.81,2020-11-03T13:00:00
6.2,Sample,2.7,27.8,13.9,46.2,17.99,2020-11-03T14:00:00
5.5,Sample,4.9,26.8,22.9,42.6,18.42,2020-11-03T15:00:00
4.3,Sample,10.5,26.3,77.0,40.8,17.86,2020-11-03T16:00:00
3.8,Sample,10.7,27.0,25.8,42.2,16.72,2020-11-03T17:00:00
4.4,Sample,10.8,24.0,4.7,46.4,15.86,2020-11-03T18:00:00
4.9,Sample,10.5,22.8,38.5,51.3,14.93,2020-11-03T19:00:00
4.8,Sample,9.2,22.5,52.8,52.7,14.41,2020-11-03T20:00:00
4.4,Sample,17.1,15.3,23.1,51.7,14.22,2020-11-03T21:00:00
4.0,Sample,18.6,12.7,49.1,51.3,13.91,2020-11-03T22:00:00
3.6,Sample,17.7,11.2,122.5,52.8,13.05,2020-11-03T23:00:00
3.6,Sample,18.7,11.4,80.5,54.9,12.46,2020-11-04T00:00:00
3.6,Sample,12.7,15.5,26.2,56.4,11.99,2020-11-04T01:00:00
3.6,Sample,11.7,16.6,31.0,58.5,11.44,2020-11-04T02:00:00
2.8,Sample,17.2,11.6,137.4,59.9,10.3,2020-11-04T03:00:00
2.7,Sample,10.3,16.8,14.0,60.0,10.18,2020-11-04T04:00:00
2.8,Sample,11.0,16.5,7.4,60.1,10.16,2020-11-04T05:00:00
2.2,Sample,15.0,13.6,17.0,59.1,9.76,2020-11-04T06:00:00
2.7,Sample,17.1,13.0,45.8,62.1,9.64,2020-11-04T07:00:00
4.3,Sample,10.9,17.4,22.0,65.2,10.54,2020-11-04T08:00:00
4.1,Sample,7.9,23.5,11.9,61.0,11.41,2020-11-04T09:00:00
3.6,Sample,11.9,23.7,7.1,53.3,12.91,2020-11-04T10:00:00
3.1,Sample,12.4,25.4,6.6,45.0,14.96,2020-11-04T11:00:00
1.8,Sample,14.5,26.7,8.9,35.8,17.16,2020-11-04T12:00:00
-2.3,Sample,12.4,25.3,11.2,23.2,19.45,2020-11-04T13:00:00
-3.7,Sample,13.6,26.7,3.9,20.1,19.92,2020-11-04T14:00:00
-2.8,Sample,12.5,26.5,6.4,21.7,19.74,2020-11-04T15:00:00
-1.0,Sample,13.7,24.9,16.8,25.0,19.58,2020-11-04T16:00:00
0.2,Sample,14.6,24.2,13.8,28.8,18.69,2020-11-04T17:00:00
1.3,Sample,15.6,21.5,9.1,33.9,17.36,2020-11-04T18:00:00
2.3,Sample,18.4,15.7,77.6,37.9,16.75,2020-11-04T19:00:00
2.8,Sample,19.4,15.4,29.0,41.8,15.77,2020-11-04T20:00:00
4.1,Sample,9.2,22.4,3.6,48.8,14.82,2020-11-04T21:00:00
4.8,Sample,6.7,19.0,4.2,51.5,14.72,2020-11-04T22:00:00
4.5,Sample,6.8,17.6,8.6,51.1,14.5,2020-11-04T23:00:00
3.9,Sample,13.3,14.1,23.4,51.4,13.7,2020-11-05T00:00:00
3.9,Sample,9.7,17.5,23.3,53.9,13.06,2020-11-05T01:00:00
3.8,Sample,8.1,17.8,14.8,55.3,12.5,2020-11-05T02:00:00
3.2,Sample,7.8,16.2,20.4,55.3,11.87,2020-11-05T03:00:00
2.5,Sample,12.0,12.6,37.4,55.1,11.22,2020-11-05T04:00:00
1.7,Sample,16.3,9.9,86.1,54.8,10.38,2020-11-05T05:00:00
1.4,Sample,15.8,11.3,31.3,54.4,10.19,2020-11-05T06:00:00
2.1,Sample,16.1,12.6,17.6,56.6,10.36,2020-11-05T07:00:00
3.8,Sample,12.3,17.1,48.1,59.9,11.3,2020-11-05T08:00:00
4.1,Sample,13.7,18.9,26.2,56.7,12.52,2020-11-05T09:00:00
3.6,Sample,10.6,23.9,13.2,50.9,13.57,2020-11-05T10:00:00
3.0,Sample,11.4,27.0,4.4,44.0,15.19,2020-11-05T11:00:00
2.2,Sample,13.8,29.4,5.0,37.0,17.03,2020-11-05T12:00:00
1.7,Sample,14.5,27.8,4.2,32.0,18.77,2020-11-05T13:00:00
2.5,Sample,13.8,26.6,3.7,31.9,19.75,2020-11-05T14:00:00
1.8,Sample,14.2,27.3,3.1,29.5,20.27,2020-11-05T15:00:00
0.5,Sample,15.5,27.8,2.6,27.2,19.96,2020-11-05T16:00:00
1.8,Sample,14.6,27.0,3.4,31.1,19.34,2020-11-05T17:00:00
2.1,Sample,14.7,22.5,6.9,34.6,17.97,2020-11-05T18:00:00
3.1,Sample,13.6,19.3,10.2,39.5,16.96,2020-11-05T19:00:00
4.7,Sample,10.2,16.9,6.0,46.3,16.33,2020-11-05T20:00:00
6.5,Sample,1.2,19.0,4.9,57.2,14.9,2020-11-05T21:00:00
6.4,Sample,0.4,21.4,14.7,60.9,13.8,2020-11-05T22:00:00
6.5,Sample,0.1,21.8,18.3,63.6,13.31,2020-11-05T23:00:00
6.4,Sample,0.2,20.1,23.6,64.8,12.9,2020-11-06T00:00:00
5.7,Sample,0.0,18.8,21.9,64.1,12.27,2020-11-06T01:00:00
5.0,Sample,1.4,17.1,23.2,64.6,11.39,2020-11-06T02:00:00
4.8,Sample,3.1,14.8,61.8,65.7,11.0,2020-11-06T03:00:00
4.3,Sample,3.6,14.7,52.0,64.6,10.73,2020-11-06T04:00:00
3.9,Sample,5.3,14.5,38.4,65.4,10.14,2020-11-06T05:00:00
3.4,Sample,9.9,14.0,51.6,67.4,9.13,2020-11-06T06:00:00
4.0,Sample,9.1,14.2,36.6,67.9,9.69,2020-11-06T07:00:00
5.1,Sample,7.9,14.8,26.9,66.8,11.09,2020-11-06T08:00:00
5.1,Sample,12.8,16.6,14.8,60.9,12.45,2020-11-06T09:00:00
4.6,Sample,11.0,20.9,6.4,52.8,14.09,2020-11-06T10:00:00
4.6,Sample,9.0,25.3,7.2,48.3,15.48,2020-11-06T11:00:00
4.2,Sample,10.4,27.2,6.6,42.3,17.14,2020-11-06T12:00:00
3.2,Sample,11.5,27.1,5.3,36.3,18.45,2020-11-06T13:00:00
3.4,Sample,11.1,26.8,4.6,35.1,19.22,2020-11-06T14:00:00
3.7,Sample,9.4,26.9,3.5,35.3,19.5,2020-11-06T15:00:00
4.8,Sample,6.0,25.0,5.5,37.7,19.69,2020-11-06T16:00:00
5.1,Sample,6.8,22.9,7.4,39.1,19.36,2020-11-06T17:00:00
5.4,Sample,8.6,17.3,7.6,44.1,17.76,2020-11-06T18:00:00
6.2,Sample,4.2,14.0,17.1,50.5,16.51,2020-11-06T19:00:00
6.0,Sample,7.4,11.3,31.4,52.6,15.68,2020-11-06T20:00:00
6.7,Sample,6.2,12.0,11.9,56.4,15.3,2020-11-06T21:00:00
7.3,Sample,0.4,17.4,9.1,59.9,15.04,2020-11-06T22:00:00
6.7,Sample,1.3,18.0,5.5,59.5,14.56,2020-11-06T23:00:00
5.6,Sample,4.7,18.4,5.7,57.0,14.05,2020-11-07T00:00:00
5.7,Sample,1.8,17.5,7.0,59.6,13.38,2020-11-07T01:00:00
5.7,Sample,4.8,15.2,8.1,61.8,12.84,2020-11-07T02:00:00
5.5,Sample,4.3,13.5,9.5,63.9,12.17,2020-11-07T03:00:00
4.8,Sample,8.6,12.3,20.9,63.4,11.48,2020-11-07T04:00:00
3.8,Sample,8.3,13.3,24.1,63.5,10.42,2020-11-07T05:00:00
4.1,Sample,7.8,12.7,33.5,65.0,10.35,2020-11-07T06:00:00
3.9,Sample,8.3,12.5,34.5,64.4,10.32,2020-11-07T07:00:00
4.9,Sample,8.6,13.0,34.8,64.3,11.41,2020-11-07T08:00:00
6.2,Sample,16.9,12.5,30.3,63.2,13.04,2020-11-07T09:00:00
6.1,Sample,14.4,17.3,22.1,56.6,14.61,2020-11-07T10:00:00
6.1,Sample,19.1,23.2,36.6,50.3,16.51,2020-11-07T11:00:00
5.8,Sample,17.9,29.4,30.1,43.6,18.46,2020-11-07T12:00:00
4.6,Sample,22.8,32.7,30.6,36.2,20.14,2020-11-07T13:00:00
2.7,Sample,22.1,33.4,25.5,29.2,21.47,2020-11-07T14:00:00
1.9,Sample,22.4,32.1,71.5,26.8,21.87,2020-11-07T15:00:00
1.1,Sample,23.1,30.3,134.4,25.3,21.93,2020-11-07T16:00:00
4.3,Sample,17.9,23.8,312.9,32.2,21.7,2020-11-07T17:00:00
6.3,Sample,8.0,18.3,74.3,40.1,20.36,2020-11-07T18:00:00
6.5,Sample,4.3,18.6,7.6,43.5,19.23,2020-11-07T19:00:00
5.9,Sample,6.4,19.9,5.1,43.5,18.6,2020-11-07T20:00:00
5.8,Sample,7.2,17.2,5.5,44.6,18.09,2020-11-07T21:00:00
6.1,Sample,9.8,12.9,13.4,47.7,17.29,2020-11-07T22:00:00
6.2,Sample,12.1,10.9,28.4,49.9,16.74,2020-11-07T23:00:00
6.1,Sample,11.4,11.0,24.8,51.8,16.01,2020-11-08T00:00:00
5.9,Sample,4.9,16.2,66.7,57.7,14.12,2020-11-08T01:00:00
7.8,Sample,0.0,17.4,37.9,67.3,13.71,2020-11-08T02:00:00
